# Acetate(C2) (STEPs-SOL) -- Ca (Amber03) Difference Data: MM (Tip3p) - GB (OBC1)
# r0[nm] k[kCal/mol/nm^2]
0.2749 -14.770942
0.2799 -14.273208
0.2849 -13.703530
0.2899 -13.033104
0.2949 -12.208304
0.2999 -11.211516
0.3049 -10.061535
0.3099 -8.809135
0.3149 -7.514624
0.3199 -6.248542
0.3249 -5.103016
0.3299 -4.172645
0.3349 -3.509339
0.3399 -3.097706
0.3449 -2.883146
0.3499 -2.779148
0.3549 -2.692366
0.3599 -2.581222
0.3649 -2.443904
0.3699 -2.245592
0.3749 -1.956770
0.3799 -1.574104
0.3849 -1.104423
0.3899 -0.573183
0.3949 -0.023917
0.3999 0.517590
0.4049 1.025657
0.4099 1.443328
0.4149 1.712357
0.4199 1.811199
0.4249 1.758196
0.4299 1.597445
0.4349 1.387280
0.4399 1.152245
0.4449 0.906386
0.4499 0.669271
0.4549 0.441082
0.4599 0.219771
0.4649 0.009338
0.4699 -0.181619
0.4749 -0.348605
0.4799 -0.500295
0.4849 -0.640431
0.4899 -0.771799
0.4949 -0.886575
0.4999 -0.975451
0.5049 -1.048469
0.5099 -1.113790
0.5149 -1.161449
0.5199 -1.183345
0.5249 -1.194367
0.5299 -1.204417
0.5349 -1.207428
0.5399 -1.203971
0.5449 -1.192105
0.5499 -1.158571
0.5549 -1.119301
0.5599 -1.096726
0.5649 -1.082904
0.5699 -1.064705
0.5749 -1.036507
0.5799 -1.001494
0.5849 -0.972786
0.5899 -0.931681
0.5949 -0.869409
0.5999 -0.815432
0.6049 -0.770462
0.6099 -0.716093
0.6149 -0.656468
0.6199 -0.601913
0.6249 -0.546690
0.6299 -0.483110
0.6349 -0.405075
0.6399 -0.314219
0.6449 -0.228894
0.6499 -0.175266
0.6549 -0.150708
0.6599 -0.132077
0.6649 -0.110392
0.6699 -0.092374
0.6749 -0.084536
0.6799 -0.082968
0.6849 -0.081937
0.6899 -0.085347
0.6949 -0.096846
0.6999 -0.106861
0.7049 -0.115761
0.7099 -0.128447
0.7149 -0.138218
0.7199 -0.145210
0.7249 -0.152984
0.7299 -0.157970
0.7349 -0.162521
0.7399 -0.172253
0.7449 -0.186020
0.7499 -0.191864
0.7549 -0.189533
0.7599 -0.191548
0.7649 -0.203950
0.7699 -0.209570
0.7749 -0.191854
0.7799 -0.157745
0.7849 -0.130312
0.7899 -0.114623
0.7949 -0.092278
0.7999 -0.071204
0.8049 -0.067048
0.8099 -0.077305
0.8149 -0.071438
0.8199 -0.037624
0.8249 -0.014914
0.8299 -0.005674
0.8349 -0.000182
0.8399 0.007580
0.8449 0.031902
0.8499 0.055894
0.8549 0.061726
0.8599 0.061726
0.8649 0.053952
0.8699 0.051154
0.8749 0.054139
0.8799 0.043899
0.8849 0.036205
0.8899 0.047240
0.8949 0.063171
0.8999 0.074797
0.9049 0.065205
0.9099 0.043978
0.9149 0.041123
0.9199 0.055378
0.9249 0.062565
0.9299 0.042618
0.9349 0.023413
0.9399 0.030088
0.9449 0.045431
0.9499 0.051332
0.9549 0.047983
0.9599 0.039243
0.9649 0.026170
0.9699 0.006445
0.9749 -0.005170
0.9799 -0.005974
0.9849 0.003130
0.9899 0.003415
0.9949 -0.015781
0.9999 -0.040601
1.0049 -0.061313
1.0099 -0.055958
1.0149 -0.029137
1.0199 -0.018821
1.0249 -0.025500
1.0299 -0.028198
1.0349 -0.017681
1.0399 -0.010572
1.0449 -0.022018
1.0499 -0.025367
1.0549 -0.004255
1.0599 0.021205
1.0649 0.037827
1.0699 0.045972
1.0749 0.037229
1.0799 0.024856
1.0849 0.019762
1.0899 0.022133
1.0949 0.019874
1.0999 0.004850
1.1049 -0.005085
1.1099 0.005113
1.1149 0.025037
1.1199 0.039164
1.1249 0.047105
1.1299 0.046955
1.1349 0.041306
1.1399 0.040658
1.1449 0.047830
1.1499 0.056098
1.1549 0.059694
1.1599 0.062363
1.1649 0.059654
1.1699 0.046513
1.1749 0.036705
1.1799 0.029787
1.1849 0.016071
1.1899 -0.005427
1.1949 -0.018901
1.1999 -0.016806
